Date,Home_Team,Home_Win,TMAX,TMIN,PRCP
2018-04-18,TOR,1,5.0,0.5,0.0
2018-04-18,DET,1,5.0,0.0,0.0
2018-04-18,ATL,1,28.3,11.7,0.0
2018-04-18,SEA,0,13.9,6.1,0.0
2018-04-18,LAA,0,25.6,7.2,0.0
2018-04-18,MIL,1,2.2,0.6,109.0
2018-04-18,SDP,0,18.3,12.2,0.0
2018-04-18,MIN,1,5.0,-4.4,0.0
2018-04-18,TBR,1,29.4,13.9,0.0
2018-04-18,PIT,1,12.2,-1.6,56.0
2018-04-18,NYM,1,12.8,3.9,0.0
2018-04-18,ARI,0,28.3,12.2,0.0
2018-04-18,OAK,1,14.4,7.8,0.0
2018-04-19,NYY,1,9.4,3.3,38.0
2018-04-19,DET,1,11.1,1.1,0.0
2018-04-19,ATL,1,20.0,10.0,0.0
2018-04-19,SEA,0,16.7,3.9,0.0
2018-04-19,LAA,0,24.4,8.3,0.0
2018-04-19,PHI,1,10.6,5.0,0.0
2018-04-19,MIL,1,10.0,-0.5,0.0
2018-04-19,ARI,1,29.4,14.4,0.0
2018-04-19,CHC,1,12.8,1.1,8.0
2018-04-20,NYY,0,10.0,2.8,0.0
2018-04-20,BAL,1,15.0,3.3,0.0
2018-04-20,ATL,0,20.0,6.7,0.0
2018-04-20,TEX,0,20.6,10.6,0.0
2018-04-20,LAA,0,26.7,8.9,0.0
2018-04-20,STL,1,16.7,2.8,0.0
2018-04-20,LAD,0,23.3,12.2,0.0
2018-04-20,PHI,1,12.2,2.2,0.0
2018-04-20,MIL,1,11.7,-1.0,0.0
2018-04-20,TBR,1,27.8,18.3,0.0
2018-04-20,COL,0,19.4,0.6,0.0
2018-04-20,CHW,0,16.1,0.6,0.0
2018-04-20,DET,1,12.8,0.6,0.0
2018-04-20,DET,0,12.8,0.6,0.0
2018-04-20,ARI,0,25.6,13.3,0.0
2018-04-20,OAK,0,19.4,7.8,0.0
2018-04-21,NYY,1,17.2,3.9,0.0
2018-04-21,BAL,0,17.8,6.7,0.0
2018-04-21,ATL,1,22.2,7.8,0.0
2018-04-21,TEX,0,20.6,10.0,0.0
2018-04-21,LAA,1,29.4,10.0,0.0
2018-04-21,STL,1,19.4,4.4,0.0
2018-04-21,LAD,1,28.3,11.7,0.0
2018-04-21,PHI,1,15.6,2.2,0.0
2018-04-21,MIL,1,13.3,-0.5,0.0
2018-04-21,TBR,1,32.2,19.4,0.0
2018-04-21,COL,1,13.3,0.0,84.0
2018-04-21,CHW,0,11.7,5.0,0.0
2018-04-21,DET,1,12.2,-1.6,0.0
2018-04-21,ARI,1,31.7,15.0,0.0
2018-04-21,OAK,1,22.8,7.8,0.0
2018-04-22,NYY,1,19.4,6.7,0.0
2018-04-22,BAL,0,19.4,10.0,0.0
2018-04-22,TEX,1,18.3,11.1,107.0
2018-04-22,LAA,0,28.3,10.6,0.0
2018-04-22,STL,1,16.1,10.6,5.0
2018-04-22,LAD,1,26.1,13.9,0.0
2018-04-22,PHI,1,18.9,4.4,0.0
2018-04-22,MIL,1,13.9,0.6,0.0
2018-04-22,TBR,1,32.2,22.2,0.0
2018-04-22,COL,0,5.0,-1.7,23.0
2018-04-22,CHW,0,16.7,6.7,0.0
2018-04-22,DET,0,15.6,0.0,0.0
2018-04-22,ARI,1,34.4,17.2,0.0
2018-04-22,OAK,1,25.0,8.3,0.0
2018-04-23,BAL,0,21.1,11.7,0.0
2018-04-23,CIN,1,15.6,6.1,114.0
2018-04-23,CHW,1,17.8,6.1,0.0
2018-04-23,HOU,0,26.7,11.7,0.0
2018-04-23,LAD,1,24.4,12.8,0.0
2018-04-23,TEX,0,18.9,10.6,0.0
2018-04-23,NYY,1,20.0,7.8,0.0
2018-04-23,SFG,1,21.1,11.1,0.0
2018-04-23,COL,0,18.3,-0.6,0.0
2018-04-24,TOR,1,18.0,5.0,122.0
2018-04-24,CIN,1,13.9,10.6,48.0
2018-04-24,CHW,0,17.8,8.3,0.0
2018-04-24,HOU,0,30.0,13.9,0.0
2018-04-24,LAD,0,21.1,11.7,0.0
2018-04-24,CLE,0,15.0,8.9,46.0
2018-04-24,TEX,0,23.3,10.6,0.0
2018-04-24,NYY,1,18.9,7.8,13.0
2018-04-24,SFG,1,15.0,10.6,0.0
2018-04-24,COL,1,22.8,0.0,51.0
2018-04-24,STL,0,22.2,10.0,0.0
2018-04-24,KCR,0,23.3,11.1,0.0
2018-04-24,PHI,0,17.8,5.0,28.0
2018-04-25,TOR,0,11.0,6.0,76.0
2018-04-25,BAL,0,20.0,13.3,267.0
2018-04-25,CIN,0,18.9,7.8,0.0
2018-04-25,CHW,0,11.7,3.9,0.0
2018-04-25,HOU,1,29.4,16.1,0.0
2018-04-25,LAD,0,21.1,12.8,0.0
2018-04-25,CLE,1,9.4,4.4,15.0
2018-04-25,TEX,1,27.8,12.8,61.0
2018-04-25,PIT,0,15.0,5.6,5.0
2018-04-25,PIT,1,15.0,5.6,5.0
2018-04-25,NYY,1,15.6,11.1,241.0
2018-04-25,SFG,0,14.4,9.4,0.0
2018-04-25,COL,1,3.3,-1.7,18.0
2018-04-25,STL,1,18.9,8.3,0.0
2018-04-25,KCR,0,24.4,11.1,0.0
2018-04-25,PHI,1,20.0,11.7,41.0
2018-04-26,TOR,0,16.5,3.5,0.0
2018-04-26,BAL,0,21.7,10.0,0.0
2018-04-26,CIN,0,20.6,5.6,0.0
2018-04-26,CLE,0,10.6,2.2,0.0
2018-04-26,PIT,1,16.7,3.3,0.0
2018-04-26,NYY,1,21.1,12.8,25.0
2018-04-26,CHC,1,18.9,2.2,0.0
2018-04-26,STL,1,22.2,10.0,0.0
2018-04-26,KCR,0,12.2,6.1,99.0
2018-04-26,PHI,0,19.4,10.6,0.0
2018-04-27,TOR,0,13.5,3.0,24.0
2018-04-27,BAL,1,17.2,12.2,104.0
2018-04-27,PHI,1,15.0,10.0,64.0
2018-04-27,CLE,1,17.2,5.6,18.0
2018-04-27,LAA,0,23.9,10.0,0.0
2018-04-27,MIN,0,16.7,3.9,0.0
2018-04-27,SFG,1,17.2,11.1,0.0
2018-04-27,PIT,1,19.4,6.7,0.0
2018-04-27,MIA,0,28.3,21.1,130.0
2018-04-27,WSN,0,17.8,12.2,183.0
2018-04-27,CHC,1,12.8,5.0,8.0
2018-04-27,KCR,0,20.0,6.1,0.0
2018-04-27,BOS,0,13.9,7.8,137.0
2018-04-27,SDP,0,20.0,14.4,0.0
2018-04-27,HOU,0,26.7,14.4,0.0
2018-04-28,TOR,0,7.0,3.0,82.0
2018-04-28,BAL,0,23.9,11.7,5.0
2018-04-28,PHI,0,23.3,7.8,36.0
2018-04-28,CLE,0,5.6,2.8,36.0
2018-04-28,LAA,0,23.9,12.2,0.0
2018-04-28,MIN,1,15.0,1.7,0.0
2018-04-28,SFG,0,17.2,11.7,0.0
2018-04-28,SFG,1,17.2,11.7,0.0
2018-04-28,PIT,1,15.0,2.8,3.0
2018-04-28,MIA,1,30.0,19.4,0.0
2018-04-28,WSN,0,25.6,10.6,0.0
2018-04-28,CHC,1,10.6,3.3,0.0
2018-04-28,KCR,0,22.8,7.2,0.0
2018-04-28,KCR,1,22.8,7.2,0.0
2018-04-28,BOS,0,21.1,7.8,0.0
2018-04-28,SDP,1,20.6,14.4,0.0
2018-04-28,HOU,1,28.3,14.4,0.0
2018-04-29,TOR,1,11.5,0.5,0.0
2018-04-29,BAL,1,13.3,7.8,0.0
2018-04-29,PHI,0,13.3,7.2,38.0
2018-04-29,CLE,0,8.3,2.8,0.0
2018-04-29,LAA,0,21.1,13.3,0.0
2018-04-29,MIN,0,12.8,2.8,0.0
2018-04-29,SFG,1,16.1,11.1,0.0
2018-04-29,PIT,1,10.6,0.0,0.0
2018-04-29,MIA,1,28.9,20.6,0.0
2018-04-29,WSN,1,14.4,7.2,0.0
2018-04-29,CHC,1,13.9,0.6,0.0
2018-04-29,KCR,1,19.4,7.2,0.0
2018-04-29,BOS,1,15.6,6.1,13.0
2018-04-29,SDP,0,18.9,15.0,0.0
2018-04-29,HOU,1,27.2,14.4,0.0
2018-04-30,MIN,0,19.4,5.6,0.0
2018-04-30,CIN,0,22.2,0.6,0.0
2018-04-30,ARI,1,30.0,19.4,0.0
2018-04-30,CLE,1,16.7,4.4,0.0
2018-04-30,WSN,1,22.8,5.0,0.0
2018-04-30,HOU,1,26.7,16.1,0.0
2018-04-30,MIA,1,28.9,22.8,0.0
2018-04-30,CHC,1,26.7,5.6,0.0
2018-04-30,SFG,1,15.6,10.0,0.0
2018-04-30,BOS,1,8.9,4.4,51.0
2018-04-30,DET,0,21.7,2.2,0.0
2018-05-01,MIN,0,27.2,10.6,5.0
2018-05-01,LAA,1,17.8,10.0,0.0
2018-05-01,NYM,0,27.8,10.0,0.0
2018-05-01,SEA,1,16.7,9.4,0.0
2018-05-01,CIN,0,26.7,3.3,0.0
2018-05-01,ARI,1,25.0,17.8,0.0
2018-05-01,CLE,0,27.8,11.7,0.0
2018-05-01,WSN,1,28.3,9.4,0.0
2018-05-01,HOU,0,26.7,21.1,0.0
2018-05-01,MIA,1,28.3,22.8,18.0
2018-05-01,CHC,0,30.0,14.4,0.0
2018-05-01,SFG,0,16.7,9.4,0.0
2018-05-01,STL,1,30.6,16.1,0.0
2018-05-01,BOS,0,19.4,6.7,0.0
2018-05-01,DET,1,28.3,10.6,0.0
2018-05-02,MIN,1,20.0,7.8,58.0
2018-05-02,LAA,1,17.8,9.4,43.0
2018-05-02,NYM,0,32.2,18.3,0.0
2018-05-02,SEA,0,20.6,6.1,0.0
2018-05-02,CIN,0,28.9,10.0,0.0
2018-05-02,ARI,0,23.9,15.6,0.0
2018-05-02,CLE,1,28.9,15.6,0.0
2018-05-02,WSN,1,32.8,13.3,0.0
2018-05-02,HOU,0,29.4,22.8,0.0
2018-05-02,MIA,0,28.3,22.2,56.0
2018-05-02,CHC,0,31.1,18.9,66.0
2018-05-02,SFG,1,15.6,10.0,0.0
2018-05-02,STL,1,30.6,20.6,0.0
2018-05-02,BOS,1,31.7,14.4,0.0
2018-05-02,DET,1,28.9,16.7,86.0
2018-05-03,CLE,0,23.9,15.0,198.0
2018-05-03,CLE,1,23.9,15.0,198.0
2018-05-03,LAA,1,20.6,12.8,0.0
2018-05-03,NYM,0,33.9,21.1,3.0
2018-05-03,SEA,1,24.4,9.4,0.0
2018-05-03,ARI,0,28.3,14.4,0.0
2018-05-03,TEX,1,28.9,21.7,3.0
2018-05-03,WSN,1,32.2,17.8,0.0
2018-05-03,HOU,0,28.9,23.3,0.0
2018-05-03,CHW,1,21.7,14.4,48.0
2018-05-03,KCR,1,27.8,15.0,102.0
2018-05-04,TBR,1,32.2,20.0,0.0
2018-05-04,OAK,1,20.6,10.6,0.0
2018-05-04,ATL,0,28.3,15.0,0.0
2018-05-04,SEA,0,17.8,11.1,0.0
2018-05-04,CIN,1,26.7,16.1,8.0
2018-05-04,SDP,0,26.7,13.9,0.0
2018-05-04,NYY,1,28.9,22.2,0.0
2018-05-04,TEX,0,24.4,18.3,99.0
2018-05-04,MIL,0,24.4,9.4,0.0
2018-05-04,CHW,0,23.9,17.2,0.0
2018-05-04,WSN,1,32.2,20.6,0.0
2018-05-04,NYM,0,28.9,20.0,0.0
2018-05-04,STL,1,23.9,13.9,0.0
2018-05-04,KCR,1,25.0,14.4,56.0
2018-05-04,ARI,0,35.6,17.8,0.0
2018-05-05,TBR,1,31.7,17.8,0.0
2018-05-05,OAK,1,16.1,10.0,0.0
2018-05-05,ATL,0,25.6,18.9,0.0
2018-05-05,SEA,1,20.0,8.9,5.0
2018-05-05,CIN,0,18.3,12.8,43.0
2018-05-05,SDP,1,23.9,15.0,0.0
2018-05-05,NYY,1,24.4,16.1,0.0
2018-05-05,TEX,0,21.7,15.0,196.0
2018-05-05,MIL,1,27.2,10.6,0.0
2018-05-05,CHW,0,27.8,13.9,0.0
2018-05-05,WSN,0,24.4,16.7,0.0
2018-05-05,NYM,0,24.4,16.1,0.0
2018-05-05,STL,1,27.2,12.2,0.0
2018-05-05,KCR,0,25.0,13.9,0.0
2018-05-05,ARI,1,39.4,20.0,0.0
2018-05-06,TBR,0,28.9,22.8,0.0
2018-05-06,OAK,1,17.8,11.7,0.0
2018-05-06,ATL,0,26.7,15.6,0.0
2018-05-06,SEA,0,24.4,11.7,0.0
2018-05-06,CIN,0,25.6,12.2,36.0
2018-05-06,SDP,1,22.8,15.6,0.0
2018-05-06,NYY,1,18.9,13.3,0.0
2018-05-06,TEX,0,26.7,13.3,0.0
2018-05-06,MIL,0,15.6,8.9,3.0
2018-05-06,CHW,0,20.6,11.1,0.0
2018-05-06,WSN,1,22.8,15.0,0.0
2018-05-06,NYM,0,20.0,12.2,0.0
2018-05-06,STL,1,28.9,15.6,3.0
2018-05-06,KCR,1,28.3,14.4,0.0
2018-05-06,ARI,1,41.1,22.8,0.0
2018-05-07,CIN,0,23.3,10.0,0.0
2018-05-07,TEX,1,30.6,13.9,0.0
2018-05-07,CHC,1,22.8,10.0,0.0
2018-05-07,STL,0,25.6,13.3,0.0
2018-05-07,SDP,0,20.0,15.6,0.0
2018-05-07,PHI,1,23.9,12.8,0.0
2018-05-07,OAK,0,21.1,8.9,0.0
2018-05-08,TOR,0,17.5,6.0,0.0
2018-05-08,BAL,0,25.6,15.6,0.0
2018-05-08,TBR,0,32.8,19.4,0.0
2018-05-08,COL,1,26.1,8.9,0.0
2018-05-08,CIN,1,26.1,6.7,0.0
2018-05-08,LAD,0,24.4,14.4,0.0
2018-05-08,MIL,1,27.8,14.4,0.0
2018-05-08,TEX,0,32.8,16.1,0.0
2018-05-08,CHW,0,28.3,13.3,0.0
2018-05-08,NYY,1,23.3,11.7,0.0
2018-05-08,CHC,1,28.3,13.3,0.0
2018-05-08,STL,0,26.7,11.7,0.0
2018-05-08,SDP,0,18.9,15.0,0.0
2018-05-08,PHI,1,25.0,10.6,0.0
2018-05-08,OAK,0,18.9,10.6,0.0
2018-05-09,TOR,1,22.0,8.0,70.0
2018-05-09,BAL,1,26.1,15.6,0.0
2018-05-09,TBR,0,32.8,19.4,0.0
2018-05-09,COL,0,25.0,7.8,0.0
2018-05-09,CIN,1,27.2,11.1,5.0
2018-05-09,LAD,1,23.9,15.0,0.0
2018-05-09,MIL,0,22.8,9.4,198.0
2018-05-09,TEX,1,30.6,18.9,0.0
2018-05-09,CHW,0,28.3,15.6,53.0
2018-05-09,NYY,1,25.0,12.2,0.0
2018-05-09,CHC,1,28.3,15.6,53.0
2018-05-09,SDP,1,21.1,15.6,0.0
2018-05-09,PHI,1,26.1,11.1,0.0
2018-05-09,OAK,0,19.4,11.7,0.0
2018-05-10,TOR,0,21.5,14.0,0.0
2018-05-10,BAL,1,29.4,16.1,10.0
2018-05-10,MIA,0,28.9,22.8,0.0
2018-05-10,LAA,1,26.7,12.8,0.0
2018-05-10,LAD,0,24.4,15.6,0.0
2018-05-10,NYY,0,18.9,12.2,64.0
2018-05-10,ARI,0,41.1,23.3,0.0
2018-05-10,COL,0,25.6,7.8,0.0
