id,name,state,dist,tmax,tmax_sflag,tmin,tmin_sflag,prcp,prcp_sflag,date
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.0,C,14.0,C,6.0,C,2018-05-15
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,17.5,C,7.0,C,0.0,C,2018-05-16
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.0,C,10.0,C,0.0,C,2018-05-17
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,13.0,C,7.5,C,64.0,C,2018-05-18
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.0,C,7.5,C,30.0,C,2018-05-19
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,20.5,C,10.0,C,0.0,C,2018-05-20
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,20.0,C,7.5,C,94.0,C,2018-05-21
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.5,C,9.0,C,4.0,C,2018-05-22
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,11.5,C,0.0,C,2018-05-23
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,28.5,C,11.0,C,0.0,C,2018-05-24
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,14.5,C,0.0,C,2018-05-25
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,16.0,C,0.0,C,2018-05-26
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.5,C,13.5,C,0.0,C,2018-05-27
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,32.0,C,14.5,C,0.0,C,2018-05-28
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,23.5,C,18.5,C,0.0,C,2018-05-29
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,25.0,C,14.5,C,30.0,C,2018-05-30
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,18.0,C,3.0,C,2018-05-31
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,28.0,C,20.0,C,6.0,C,2018-06-01
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,19.5,C,14.0,C,0.0,C,2018-06-02
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,19.5,C,13.0,C,16.0,C,2018-06-03
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.5,C,14.0,C,16.0,C,2018-06-04
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,17.5,C,11.0,C,0.0,C,2018-06-05
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,16.0,C,10.5,C,0.0,C,2018-06-06
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,25.5,C,10.0,C,0.0,C,2018-06-07
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,23.0,C,13.5,C,0.0,C,2018-06-08
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.5,C,13.5,C,0.0,C,2018-06-09
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.0,C,14.5,C,0.0,C,2018-06-10
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.0,C,11.5,C,0.0,C,2018-06-11
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.0,C,9.5,C,0.0,C,2018-06-12
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,19.5,C,12.0,C,2018-06-13
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.5,C,14.0,C,0.0,C,2018-06-14
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.5,C,11.5,C,0.0,C,2018-06-15
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,13.5,C,0.0,C,2018-06-16
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,33.0,C,17.5,C,0.0,C,2018-06-17
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,34.5,C,23.0,C,82.0,C,2018-06-18
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,23.5,C,16.5,C,0.0,C,2018-06-19
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.0,C,15.0,C,2.0,C,2018-06-20
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,21.5,C,16.0,C,0.0,C,2018-06-21
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,19.0,C,11.5,C,134.0,C,2018-06-22
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.5,C,15.0,C,10.0,C,2018-06-23
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,18.5,C,16.0,C,144.0,C,2018-06-24
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,23.0,C,13.5,C,0.0,C,2018-06-25
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,22.0,C,12.0,C,132.0,C,2018-06-26
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.0,C,16.5,C,2.0,C,2018-06-27
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,30.0,C,18.0,C,0.0,C,2018-06-28
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,32.5,C,18.0,C,0.0,C,2018-06-29
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,33.5,C,21.0,C,0.0,C,2018-06-30
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,33.5,C,22.5,C,0.0,C,2018-07-01
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,33.5,C,24.0,C,34.0,C,2018-07-02
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,28.5,C,18.0,C,0.0,C,2018-07-03
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,19.5,C,0.0,C,2018-07-04
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,34.0,C,21.5,C,63.0,C,2018-07-05
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.0,C,17.0,C,0.0,C,2018-07-06
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.0,C,15.0,C,0.0,C,2018-07-07
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,30.0,C,15.0,C,0.0,C,2018-07-08
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,33.0,C,15.5,C,0.0,C,2018-07-09
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,31.5,C,20.0,C,0.0,C,2018-07-10
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,28.0,C,18.0,C,0.0,C,2018-07-11
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,15.0,C,0.0,C,2018-07-12
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,32.0,C,20.5,C,0.0,C,2018-07-13
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,30.0,C,20.5,C,7.0,C,2018-07-14
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.5,C,20.5,C,0.0,C,2018-07-15
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,35.0,C,21.5,C,2.0,C,2018-07-16
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,28.5,C,21.5,C,0.0,C,2018-07-17
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.5,C,18.0,C,0.0,C,2018-07-18
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,13.5,C,0.0,C,2018-07-19
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,32.5,C,18.0,C,0.0,C,2018-07-20
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.5,C,22.5,C,200.0,C,2018-07-21
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,24.0,C,15.0,C,213.0,C,2018-07-22
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,26.0,C,19.0,C,0.0,C,2018-07-23
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,32.0,C,21.0,C,12.0,C,2018-07-24
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,29.0,C,21.0,C,0.0,C,2018-07-25
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,30.5,C,17.0,C,140.0,C,2018-07-26
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,27.5,C,17.0,C,0.0,C,2018-07-27
CA006133055,"GRIMSBY MOUNTAIN              ",ON,52.903214850337676,25.0,C,15.5,C,0.0,C,2018-07-28
